ID;URL;NOME FILE;NOME ATTUALE;TESTO ALT;TESTO NEL TAG;FORMATO;STATUS
32;https://www.ansa.it/osservatorio_intelligenza_artificiale/notizie/approfondimenti/2021/03/22/come-lia-rivoluziona-i-videogiochi-e-viceversa_25f4e5ee-dca9-428a-88ba-08bdcb64ba5d.html;come-lia-rivoluziona-i-videogiochi-e-viceversa_25f4e5ee-dca9-428a-88ba-08bdcb64ba5d.html;;;;;
33;https://www.ansa.it/finanza/scheda.shtml?code=BTPBUND10;scheda.shtml?code=BTPBUND10;33.jpg;;Spread BTP-Bund;.jpg;200
34;https://www.ansa.it/ansa2030/notizie/responsabilmente/index.shtml;index.shtml;;;ResponsAbilmente;;
35;https://www.ansa.it/sito/img/bk_blueLight.png;bk_blueLight.png;35.png;fromCss;;.png;200
36;https://www.ansa.it/sito/img/bk_menu_magazine.png;bk_menu_magazine.png;36.png;fromCss;;.png;200
37;https://www.ansa.it/sito/img/bt_header_in.png;bt_header_in.png;37.png;fromCss;;.png;200
38;https://www.ansa.it/canale_scienza_tecnica/notizie/ricerca_istituzioni/2021/04/12/ricerca-carrozza-presidente-cnr-prima-donna-in-storia-ente_ae3463f6-e45b-4c17-abef-83bd8ac5d663.html;ricerca-carrozza-presidente-cnr-prima-donna-in-storia-ente_ae3463f6-e45b-4c17-abef-83bd8ac5d663.html;;;Una donna alla guida del Cnr, Carrozzanuovo presidente;;
39;https://www.ansa.it/sito/notizie/magazine/numeri/2019/05/18/la-rotta-della-legalita-il-mare-ti-rimette-in-gioco-_4fdf5951-2a40-4120-bb8b-33c3c0bf0128.html;la-rotta-della-legalita-il-mare-ti-rimette-in-gioco-_4fdf5951-2a40-4120-bb8b-33c3c0bf0128.html;;;Andare a vela sulla rotta della legalità;;
40;https://www.ansa.it/sito/img/sprite.png?20161108;sprite.png?20161108;40.png;fromCss;;.png;200
41;https://www.ansa.it/sito/img/bt_header_notify.png;bt_header_notify.png;41.png;fromCss;;.png;200
42;https://www.ansa.it/english/index.html;index.html;;;English;;
43;https://www.ansa.it/sito/img/bt_header_pinterest.png;bt_header_pinterest.png;43.png;fromCss;;.png;200
44;https://www.ansa.it/webimages/img_210x145/2020/3/11/cc147f12631ab62ba45e02be5444428e.jpg;cc147f12631ab62ba45e02be5444428e.jpg;44.jpg;Un'immagine di Roma con la cupola di San Pietro sullo sfondo (ANSA);;.jpg;200
45;https://ssl.p.jwpcdn.com/player/plugins/inference/v/0.4.0/inference.js;inference.js;;;;;
46;https://www.ansa.it/sito/img/bk_label_venezia73.jpg;bk_label_venezia73.jpg;46.jpg;fromCss;;.jpg;200
47;https://www.ansa.it/nuova_europa/it/;;;;NuovaEuropa;;
48;https://www.ansa.it/ricerca/ansait/search.shtml?temicaldi=Joe+Biden;search.shtml?temicaldi=Joe+Biden;48.jpg;;Joe Biden;.jpg;200
49;https://www.ansa.it/canale_motori/notizie/due_ruote/2021/04/12/suzuki-v-strom-650-kit-freedom-per-viaggiare-comodi_6d752a1e-205c-41e5-aaaa-4d94b6ef17f6.html;suzuki-v-strom-650-kit-freedom-per-viaggiare-comodi_6d752a1e-205c-41e5-aaaa-4d94b6ef17f6.html;;;;;
